id,name,description,type_tax_use,amount_type,amount,sequence,refund_account_id:id,account_id:id,chart_template_id:id,tag_ids:id
default_chart_a_tax_1,R-ISR 10%,R-ISR 10%,purchase,percent,-10,13,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_R_ISR_10
default_chart_a_tax_2,C-EXENTA,C-EXENTA,purchase,percent,0,8,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_C_EXENTA
default_chart_a_tax_7,V-EXENTA,V-EXENTA,sale,percent,18,7,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_V_EXENTA
default_chart_a_tax_8,C-ITBIS 18%,C-ITBIS 18%,purchase,percent,18,2,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_C_ITBIS_18
default_chart_a_tax_9,CS-ITBIS 18%,CS-ITBIS 18%,purchase,percent,18,9,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_CS_ITBIS_18
default_chart_a_tax_10,IMP-ITBIS 18%,IMP-ITBIS 18%,purchase,percent,18,10,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_IMP_ITBIS_18
default_chart_a_tax_12,R-ISR 2%,R-ISR 2%,purchase,percent,-2,11,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_R_ISR_2
default_chart_a_tax_13,R-ITBIS 18%,R-ITBIS 18%,purchase,percent,-18,12,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_R_ITBIS_18
default_chart_a_tax_14,V-ITBIS 18%,V-ITBIS 18%,sale,percent,18,1,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_V_ITBIS_18
default_chart_a_tax_15,C-ITBIS 18% Incluido,C-ITBIS 18% Incluido,purchase,percent,18,14,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_C_ITBIS_18_Incluido
default_chart_a_tax_16,CS-ITBIS 18% Incluido,CS-ITBIS 18% Incluido,purchase,percent,18,15,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_CS_ITBIS_18_Incluido
default_chart_a_tax_19,TELE-ISC,TELE-ISC,purchase,percent,10,16,default_chart_a_account_101,default_chart_a_account_101,default_chart_a,tag_TELE_ISC
default_chart_a_tax_20,TELE-CDT,TELE-CDT,purchase,percent,2,17,default_chart_a_account_101,default_chart_a_account_101,default_chart_a,tag_TELE_CDT
default_chart_a_tax_23,R-Alquileres 10%,R-Alquileres 10%,purchase,percent,-10,18,default_chart_a_account_25,default_chart_a_account_25,default_chart_a,tag_R_Alquileres_10
