"id","company_id/id","create_date","create_uid/id","code","note","children_ids/id","name","parent_id/id","write_uid/id","write_date"
"hr_payroll.BASIC","base.main_company","2015-03-01 22:23:36","base.user_root","BASIC","","","Base","","base.user_root","2015-03-01 22:33:47"
"hr_payroll.ALW","base.main_company","2015-03-01 22:23:36","base.user_root","ALW","","","Prestaciones","","base.user_root","2015-03-01 22:36:33"
"hr_payroll.GROSS","base.main_company","2015-03-01 22:23:36","base.user_root","GROSS","","","Bruto","","base.user_root","2015-03-01 22:37:52"
"hr_payroll.DED","base.main_company","2015-03-01 22:23:36","base.user_root","DED","","","Deducciones","","base.user_root","2015-03-01 22:38:07"
"hr_payroll.NET","base.main_company","2015-03-01 22:23:36","base.user_root","NET","","","Neto","","base.user_root","2015-03-01 22:38:19"
"hr_payroll.COMP","base.main_company","2015-03-01 22:23:36","base.user_root","COMP","","","Contribución de la compañía","","base.user_root","2015-03-01 22:38:54"
"__export__.hr_salary_rule_category_7","base.main_company","2015-03-01 22:40:17","base.user_root","RETRIB","","","Retenciones Tributarias","","base.user_root","2015-03-02 02:53:22"
"__export__.hr_salary_rule_category_8","base.main_company","2015-03-01 22:40:51","base.user_root","RETRIBD","","","Retenciones tributarias deducibles","","base.user_root","2015-03-02 02:32:56"
"__export__.hr_salary_rule_category_9","base.main_company","2015-03-01 22:41:30","base.user_root","ALWND","","","Ingresos no deducibles","","base.user_root","2015-03-01 22:41:30"
